id,LabelValue
http://www.wisski.uni-bayreuth.de/data/66bda6c844e2c,http://www.wikidata.org/entity/Q929
http://www.wisski.uni-bayreuth.de/data/66bda6c8db9dd,http://www.wikidata.org/entity/Q945
http://www.wisski.uni-bayreuth.de/data/66bda6c965855,http://www.wikidata.org/entity/Q948
http://www.wisski.uni-bayreuth.de/data/66bda6c9eaea3,http://www.wikidata.org/entity/Q953
http://www.wisski.uni-bayreuth.de/data/66bda6ca69ab5,http://www.wikidata.org/entity/Q954
http://www.wisski.uni-bayreuth.de/data/66bda6cb0bf62,http://www.wikidata.org/entity/Q958
http://www.wisski.uni-bayreuth.de/data/66bda6cb9369e,http://www.wikidata.org/entity/Q962
http://www.wisski.uni-bayreuth.de/data/66bda6cc596a9,http://www.wikidata.org/entity/Q963
http://www.wisski.uni-bayreuth.de/data/66bda6ccd99f5,http://www.wikidata.org/entity/Q965
http://www.wisski.uni-bayreuth.de/data/66bda6cd6606f,http://www.wikidata.org/entity/Q967
http://www.wisski.uni-bayreuth.de/data/66bda6ce05446,http://www.wikidata.org/entity/Q970
http://www.wisski.uni-bayreuth.de/data/66bda6ce8ade6,http://www.wikidata.org/entity/Q971
http://www.wisski.uni-bayreuth.de/data/66bda6cf0db69,http://www.wikidata.org/entity/Q114
http://www.wisski.uni-bayreuth.de/data/66bda6cf919cb,http://www.wikidata.org/entity/Q115
http://www.wisski.uni-bayreuth.de/data/66bda6d01bca5,http://www.wikidata.org/entity/Q117
http://www.wisski.uni-bayreuth.de/data/66bda6d09d5e0,http://www.wikidata.org/entity/Q142
http://www.wisski.uni-bayreuth.de/data/66bda6d129076,http://www.wikidata.org/entity/Q145
http://www.wisski.uni-bayreuth.de/data/66bda6d1ad182,http://www.wikidata.org/entity/Q148
http://www.wisski.uni-bayreuth.de/data/66bda6d23daff,http://www.wikidata.org/entity/Q155
http://www.wisski.uni-bayreuth.de/data/66bda6d2b1473,http://www.wikidata.org/entity/Q159
http://www.wisski.uni-bayreuth.de/data/66bda6d343d61,http://www.wikidata.org/entity/Q974
http://www.wisski.uni-bayreuth.de/data/66bda6d3bfcf6,http://www.wikidata.org/entity/Q977
http://www.wisski.uni-bayreuth.de/data/66bda6d44181c,http://www.wikidata.org/entity/Q986
http://www.wisski.uni-bayreuth.de/data/66bda6d4cbd16,http://www.wikidata.org/entity/Q1000
http://www.wisski.uni-bayreuth.de/data/66bda6d55bb3e,http://www.wikidata.org/entity/Q1005
http://www.wisski.uni-bayreuth.de/data/66bda6d5d77cd,http://www.wikidata.org/entity/Q1006
http://www.wisski.uni-bayreuth.de/data/66bda6d668f28,http://www.wikidata.org/entity/Q1007
http://www.wisski.uni-bayreuth.de/data/66bda6d6e187a,http://www.wikidata.org/entity/Q1008
http://www.wisski.uni-bayreuth.de/data/66bda6d771c42,http://www.wikidata.org/entity/Q1009
http://www.wisski.uni-bayreuth.de/data/66bda6d7f18d9,http://www.wikidata.org/entity/Q1011
http://www.wisski.uni-bayreuth.de/data/66bda6d87de9b,http://www.wikidata.org/entity/Q1013
http://www.wisski.uni-bayreuth.de/data/66bda6d9058b0,http://www.wikidata.org/entity/Q1014
http://www.wisski.uni-bayreuth.de/data/66bda6d986f7d,http://www.wikidata.org/entity/Q1016
http://www.wisski.uni-bayreuth.de/data/66bda6da19df7,http://www.wikidata.org/entity/Q1019
http://www.wisski.uni-bayreuth.de/data/66bda6da93be3,http://www.wikidata.org/entity/Q1020
http://www.wisski.uni-bayreuth.de/data/66bda6db1e12a,http://www.wikidata.org/entity/Q1025
http://www.wisski.uni-bayreuth.de/data/66bda6db8a060,http://www.wikidata.org/entity/Q183
http://www.wisski.uni-bayreuth.de/data/66bda6dc0bd2e,http://www.wikidata.org/entity/Q184
http://www.wisski.uni-bayreuth.de/data/66bda6dc7c396,http://www.wikidata.org/entity/Q189
http://www.wisski.uni-bayreuth.de/data/66bda6dd075a2,http://www.wikidata.org/entity/Q191
http://www.wisski.uni-bayreuth.de/data/66bda6dd74f24,http://www.wikidata.org/entity/Q211
http://www.wisski.uni-bayreuth.de/data/66bda6ddebf30,http://www.wikidata.org/entity/Q213
http://www.wisski.uni-bayreuth.de/data/66bda6de77cd1,http://www.wikidata.org/entity/Q214
http://www.wisski.uni-bayreuth.de/data/66bda6dee68da,http://www.wikidata.org/entity/Q1027
http://www.wisski.uni-bayreuth.de/data/66bda6df62f15,http://www.wikidata.org/entity/Q1028
http://www.wisski.uni-bayreuth.de/data/66bda6dfd239a,http://www.wikidata.org/entity/Q1029
http://www.wisski.uni-bayreuth.de/data/66bda6e0481e4,http://www.wikidata.org/entity/Q1030
http://www.wisski.uni-bayreuth.de/data/66bda6e0ced63,http://www.wikidata.org/entity/Q1032
http://www.wisski.uni-bayreuth.de/data/66bda6e14e39c,http://www.wikidata.org/entity/Q1033
http://www.wisski.uni-bayreuth.de/data/66bda6e1b9148,http://www.wikidata.org/entity/Q1036
http://www.wisski.uni-bayreuth.de/data/66bda6e230dc2,http://www.wikidata.org/entity/Q215
http://www.wisski.uni-bayreuth.de/data/66bda6e2a5829,http://www.wikidata.org/entity/Q1037
http://www.wisski.uni-bayreuth.de/data/66bda6e333ff4,http://www.wikidata.org/entity/Q1039
http://www.wisski.uni-bayreuth.de/data/66bda6e3b2623,http://www.wikidata.org/entity/Q1041
http://www.wisski.uni-bayreuth.de/data/66bda6e425313,http://www.wikidata.org/entity/Q1042
http://www.wisski.uni-bayreuth.de/data/66bda6e498b8a,http://www.wikidata.org/entity/Q1044
http://www.wisski.uni-bayreuth.de/data/66bda6e53f959,http://www.wikidata.org/entity/Q1045
http://www.wisski.uni-bayreuth.de/data/66bda6e5b8e38,http://www.wikidata.org/entity/Q218
http://www.wisski.uni-bayreuth.de/data/66bda6e648259,http://www.wikidata.org/entity/Q219
http://www.wisski.uni-bayreuth.de/data/66bda6e6b5c02,http://www.wikidata.org/entity/Q221
http://www.wisski.uni-bayreuth.de/data/66bda6e739ccf,http://www.wikidata.org/entity/Q222
http://www.wisski.uni-bayreuth.de/data/66bda6e7b2070,http://www.wikidata.org/entity/Q224
http://www.wisski.uni-bayreuth.de/data/66bda6e82cc39,http://www.wikidata.org/entity/Q1049
http://www.wisski.uni-bayreuth.de/data/66bda6e8b4950,http://www.wikidata.org/entity/Q1246
http://www.wisski.uni-bayreuth.de/data/66bda6e930b1a,http://www.wikidata.org/entity/Q3908
http://www.wisski.uni-bayreuth.de/data/66bda6e9a4a66,http://www.wikidata.org/entity/Q5705
http://www.wisski.uni-bayreuth.de/data/66bda6ea43de7,http://www.wikidata.org/entity/Q16644
http://www.wisski.uni-bayreuth.de/data/66bda6eab81fc,http://www.wikidata.org/entity/Q19083
http://www.wisski.uni-bayreuth.de/data/66bda6eb4a1c1,http://www.wikidata.org/entity/Q21203
http://www.wisski.uni-bayreuth.de/data/66bda6ebc5db0,http://www.wikidata.org/entity/Q26273
